dataset,method_name,method_display,retained_budget,failure_rows,unique_source_samples,full_score_mean,full_score_valid_n,compressed_score_mean,compressed_score_valid_n,score_drop_mean,score_drop_valid_n,ERR_slot_mean,ERR_slot_valid_n,ECov_slot_mean,ECov_slot_valid_n,full_gold_NLL_mean,full_gold_NLL_valid_n,compressed_gold_NLL_mean,compressed_gold_NLL_valid_n,delta_NLL_mean,delta_NLL_valid_n,GPR_mean,GPR_valid_n,EAR_mean,EAR_valid_n,KL_mean,KL_valid_n,TopK_mean,TopK_valid_n,gold_rank_shift_mean,gold_rank_shift_valid_n
hotpotqa,AdaKVPress,AdaKV,0.25,18,18,1.0,18,0.0,18,1.0,18,0.3300507573847046,18,0.30340149176954734,18,5.254849725744411,18,6.016937145495174,18,0.762087419750762,18,0.6245263274396122,18,,0,,0,,0,,0
hotpotqa,AdaKVPress,AdaKV,0.5,8,8,1.0,8,0.0,8,1.0,8,0.5813915088051405,8,0.5922309027777778,8,3.4425098728957773,8,3.865609241595541,8,0.42309936869976394,8,0.7214670165437221,8,,0,,0,,0,,0
hotpotqa,AdaKVPress,AdaKV,0.75,5,5,1.0,5,0.0,5,1.0,5,0.8846118503760347,5,0.8947916666666667,5,8.21155523802152,5,8.302913125193966,5,0.09135788717244671,5,0.9264459534938949,5,,0,,0,,0,,0
hotpotqa,ChunkKVPress_Knorm,ChunkKV,0.25,99,99,1.0,99,0.0,99,1.0,99,0.22604761568914175,99,0.1926674148896371,99,3.304218894455822,99,6.225008070675592,99,2.9207891762197695,99,0.222342465796342,99,,0,,0,,0,,0
hotpotqa,ChunkKVPress_Knorm,ChunkKV,0.5,65,65,1.0,65,0.0,65,1.0,65,0.45199662093966925,65,0.4236823361823362,65,3.694582259041593,65,5.524086529705662,65,1.8295042706640685,65,0.39817603073055485,65,,0,,0,,0,,0
hotpotqa,ChunkKVPress_Knorm,ChunkKV,0.75,35,35,1.0,35,0.0,35,1.0,35,0.7143891242456789,35,0.7021825396825397,35,3.7685365580422587,35,4.5053828982157835,35,0.7368463401735248,35,0.6473826325412777,35,,0,,0,,0,,0
hotpotqa,KeyDiffPress,KeyDiff,0.25,98,98,1.0,98,0.0,98,1.0,98,0.23259905145388882,98,0.06472859977324263,98,3.2695810177105917,98,6.899109976192665,98,3.6295289584820734,98,0.20481289524892068,98,,0,,0,,0,,0
hotpotqa,KeyDiffPress,KeyDiff,0.5,51,51,1.0,51,0.0,51,1.0,51,0.4608702720818297,51,0.4081449709513435,51,3.485113869263518,51,4.968307207512391,51,1.4831933382488722,51,0.4983040711349141,51,,0,,0,,0,,0
hotpotqa,KeyDiffPress,KeyDiff,0.75,24,24,1.0,24,0.0,24,1.0,24,0.7166989652017536,24,0.8825472608024691,24,4.847244065474346,24,5.222000098450732,24,0.37475603297638616,24,0.781687394780477,24,,0,,0,,0,,0
hotpotqa,QuantizedCache,QuantizedCache,0.25,107,107,1.0,107,0.0,107,1.0,107,,0,,0,3.4933883507699983,107,10.124614339779209,107,6.631225989009209,107,0.10787101637411493,107,,0,,0,,0,,0
hotpotqa,QuantizedCache,QuantizedCache,0.5,8,8,1.0,8,0.0,8,1.0,8,,0,,0,7.754057929165922,8,7.778797494090232,8,0.0247395649243094,8,0.9776177232793626,8,,0,,0,,0,,0
hotpotqa,QuantizedCache,QuantizedCache,0.75,3,3,1.0,3,0.0,3,1.0,3,,0,,0,4.208545594394703,3,4.212339747345519,3,0.0037941529508157914,3,0.9962285073272925,3,,0,,0,,0,,0
hotpotqa,SnapKVPress,SnapKV,0.25,22,22,1.0,22,0.0,22,1.0,22,0.27373387814186595,22,0.2140914351851852,22,3.4082933119705974,22,4.324976174732658,22,0.9166828627620599,22,0.5363351115620004,22,,0,,0,,0,,0
hotpotqa,SnapKVPress,SnapKV,0.5,10,10,1.0,10,0.0,10,1.0,10,0.545989605041874,10,0.564236111111111,10,4.889009711248886,10,5.581170245605775,10,0.6921605343568891,10,0.5903508414983156,10,,0,,0,,0,,0
hotpotqa,SnapKVPress,SnapKV,0.75,5,5,1.0,5,0.0,5,1.0,5,0.8054875503987395,5,0.841550925925926,5,7.7798831725525135,5,8.005208291132828,5,0.22532511858031543,5,0.8131474250561951,5,,0,,0,,0,,0
hotpotqa,StreamingLLMPress,StreamingLLM,0.25,50,50,1.0,50,0.0,50,1.0,50,0.10507820784643775,50,0.09666666666666666,50,4.242049582250484,50,6.193361780273066,50,1.951312198022582,50,0.364563489464212,50,,0,,0,,0,,0
hotpotqa,StreamingLLMPress,StreamingLLM,0.5,36,36,1.0,36,0.0,36,1.0,36,0.30147939332372964,36,0.2916666666666667,36,3.6293636390977744,36,5.647626919243184,36,2.01826328014541,36,0.41433473145649463,36,,0,,0,,0,,0
hotpotqa,StreamingLLMPress,StreamingLLM,0.75,15,15,1.0,15,0.0,15,1.0,15,0.4830192458897606,15,0.5222222222222223,15,5.573321615260123,15,7.477180871186422,15,1.9038592559263006,15,0.4812958723680444,15,,0,,0,,0,,0
hotpotqa,TOVAPress,TOVA,0.25,17,17,1.0,17,0.0,17,1.0,17,0.37612505725486634,17,0.3156318082788671,17,3.603982306900905,17,4.766317125604077,17,1.1623348187031723,17,0.4612395220925377,17,,0,,0,,0,,0
hotpotqa,TOVAPress,TOVA,0.5,8,8,1.0,8,0.0,8,1.0,8,0.6354972468370327,8,0.7667824074074074,8,8.264277637538035,8,8.837840993740008,8,0.5735633562019726,8,0.6898405815225332,8,,0,,0,,0,,0
hotpotqa,TOVAPress,TOVA,0.75,3,3,1.0,3,0.0,3,1.0,3,0.8582371622830559,3,0.9861111111111112,3,12.519142965373652,3,12.723974609648897,3,0.20483164427524514,3,0.8469713414156755,3,,0,,0,,0,,0
hotpotqa,ThinKPress,ThinK,0.5,124,124,1.0,124,0.0,124,1.0,124,,0,,0,3.1546868012155245,124,14.66009679035541,124,11.505409989139887,124,0.024956575599936342,124,,0,,0,,0,,0
hotpotqa,ThinKPress,ThinK,0.75,16,16,1.0,16,0.0,16,1.0,16,,0,,0,6.105393460969389,16,6.111456550758374,16,0.006063089788984288,16,0.9941671510136924,16,,0,,0,,0,,0
qasper,AdaKVPress,AdaKV,0.25,7,7,1.0,7,0.0,7,1.0,7,0.31348704811061967,7,0.28670634920634924,7,1.4027080896467605,7,2.0495980873919444,7,0.646889997745184,7,0.5777465944649043,7,,0,,0,,0,,0
qasper,AdaKVPress,AdaKV,0.5,6,6,1.0,6,0.0,6,1.0,6,0.5497404385876629,6,0.5815972222222222,6,1.5737779154812135,6,1.6740448861967545,6,0.10026697071554107,6,0.9131106435306968,6,,0,,0,,0,,0
qasper,ChunkKVPress_Knorm,ChunkKV,0.25,24,24,1.0,24,0.0,24,1.0,24,0.14157471581466177,24,0.11689814814814814,24,3.9217314158704593,24,5.946950292605675,24,2.0252188767352153,24,0.3036351794763762,24,,0,,0,,0,,0
qasper,ChunkKVPress_Knorm,ChunkKV,0.5,22,22,1.0,22,0.0,22,1.0,22,0.4114934315620134,22,0.45454545454545453,22,3.294644007166724,22,4.627906393770394,22,1.3332623866036704,22,0.4482304820790906,22,,0,,0,,0,,0
qasper,ChunkKVPress_Knorm,ChunkKV,0.75,14,14,1.0,14,0.0,14,1.0,14,0.6451530289626263,14,0.6746031746031746,14,5.544127819890221,14,6.360260773348416,14,0.8161329534581954,14,0.7260780837012106,14,,0,,0,,0,,0
qasper,KeyDiffPress,KeyDiff,0.25,34,34,1.0,34,0.0,34,1.0,34,0.23685333828511132,34,0.06459354575163398,34,5.558850891942717,34,7.748120112823875,34,2.1892692208811586,34,0.4197879933948667,34,,0,,0,,0,,0
qasper,KeyDiffPress,KeyDiff,0.5,24,24,1.0,24,0.0,24,1.0,24,0.4796224311527277,24,0.47294560185185186,24,3.6570086626188316,24,4.55130301499949,24,0.8942943523806588,24,0.5564616950502236,24,,0,,0,,0,,0
qasper,KeyDiffPress,KeyDiff,0.75,11,11,1.0,11,0.0,11,1.0,11,0.7335902643722871,11,0.925189393939394,11,7.225123160964233,11,7.4400817775858545,11,0.214958616621622,11,0.8335607360991152,11,,0,,0,,0,,0
qasper,QuantizedCache,QuantizedCache,0.25,42,42,1.0,42,0.0,42,1.0,42,,0,,0,5.583543464346008,42,8.800739031613631,42,3.2171955672676233,42,0.28445927447817493,42,,0,,0,,0,,0
qasper,QuantizedCache,QuantizedCache,0.5,3,3,1.0,3,0.0,3,1.0,3,,0,,0,13.20374496424082,3,13.192207807333723,3,-0.011537156907095447,3,1.011739139459002,3,,0,,0,,0,,0
qasper,QuantizedCache,QuantizedCache,0.75,1,1,1.0,1,0.0,1,1.0,1,,0,,0,18.556625366210938,1,18.556625366210938,1,0.0,1,1.0,1,,0,,0,,0,,0
qasper,SnapKVPress,SnapKV,0.25,7,7,1.0,7,0.0,7,1.0,7,0.3038938036169064,7,0.24503968253968253,7,1.4027080896467605,7,1.956705722280875,7,0.5539976326341146,7,0.6012660482484101,7,,0,,0,,0,,0
qasper,SnapKVPress,SnapKV,0.5,5,5,1.0,5,0.0,5,1.0,5,0.5409099552928214,5,0.5395833333333334,5,1.547996488651409,5,1.6300870735873996,5,0.08209058493599075,5,0.925100170254473,5,,0,,0,,0,,0
qasper,SnapKVPress,SnapKV,0.75,1,1,1.0,1,0.0,1,1.0,1,0.9999276620370371,1,1.0,1,20.825824737548828,1,20.825824737548828,1,0.0,1,1.0,1,,0,,0,,0,,0
qasper,StreamingLLMPress,StreamingLLM,0.25,26,26,1.0,26,0.0,26,1.0,26,0.0,26,0.0,26,4.017634188243237,26,5.655414682878355,26,1.6377804946351175,26,0.31602630269114695,26,,0,,0,,0,,0
qasper,StreamingLLMPress,StreamingLLM,0.5,20,20,1.0,20,0.0,20,1.0,20,0.0,20,0.0,20,3.2221663666299056,20,5.239853451374655,20,2.0176870847447494,20,0.23201569793221122,20,,0,,0,,0,,0
qasper,StreamingLLMPress,StreamingLLM,0.75,12,12,1.0,12,0.0,12,1.0,12,0.10444444444444445,12,0.08333333333333333,12,3.556411827773692,12,5.189901226216343,12,1.633489398442652,12,0.33194949670649687,12,,0,,0,,0,,0
qasper,TOVAPress,TOVA,0.25,10,10,1.0,10,0.0,10,1.0,10,0.4797790518945237,10,0.4583333333333333,10,2.8424626665597175,10,3.135625279751264,10,0.29316261319154685,10,0.7830821111467354,10,,0,,0,,0,,0
qasper,TOVAPress,TOVA,0.5,6,6,1.0,6,0.0,6,1.0,6,0.7571748259901622,6,0.8796296296296297,6,4.678474464236072,6,4.776217325781977,6,0.09774286154590484,6,0.9115707421982976,6,,0,,0,,0,,0
qasper,ThinKPress,ThinK,0.5,46,46,1.0,46,0.0,46,1.0,46,,0,,0,6.180040447903104,46,13.155403990294484,46,6.9753635423913805,46,0.19736082899897128,46,,0,,0,,0,,0
qasper,ThinKPress,ThinK,0.75,6,6,1.0,6,0.0,6,1.0,6,,0,,0,4.841955339916949,6,4.869045977372408,6,0.027090637455458293,6,0.973555565958882,6,,0,,0,,0,,0
ruler16k,AdaKVPress,AdaKV,0.25,131,131,1.0,131,0.30190839694656485,131,0.6980916030534351,131,0.4461968439650905,131,0.48433391645462254,131,3.6746200043928323,131,4.083277059150171,131,0.4086570547573384,131,0.7244921316281071,131,,0,,0,,0,,0
ruler16k,AdaKVPress,AdaKV,0.5,23,23,1.0,23,0.6797101449275362,23,0.32028985507246377,23,0.5697599281607144,23,0.5836805555555555,23,9.506420573364728,23,9.489255735256975,23,-0.017164838107754255,23,1.0342667515814867,23,,0,,0,,0,,0
ruler16k,AdaKVPress,AdaKV,0.75,7,7,1.0,7,0.7523809523809524,7,0.24761904761904763,7,0.799467502983128,7,0.805324074074074,7,7.460901247452918,7,7.460916014474103,7,1.476702118452522e-05,7,0.9999853958586089,7,,0,,0,,0,,0
ruler16k,ChunkKVPress_Knorm,ChunkKV,0.25,448,448,1.0,448,0.2444940476190476,448,0.7555059523809524,448,0.4848217452312787,448,0.4666904348544974,448,3.7134743446658716,448,5.107992111048397,448,1.3945177663825248,448,0.4668699852277814,448,,0,,0,,0,,0
ruler16k,ChunkKVPress_Knorm,ChunkKV,0.5,310,310,1.0,310,0.33720430107526883,310,0.6627956989247312,310,0.6040853129742842,310,0.5665382317801673,310,4.180314986047554,310,5.050372413270794,310,0.8700574272232401,310,0.6425617210532739,310,,0,,0,,0,,0
ruler16k,ChunkKVPress_Knorm,ChunkKV,0.75,164,164,1.0,164,0.44888211382113824,164,0.5511178861788617,164,0.7067755112692419,164,0.6981989611562782,164,5.07737898675564,164,5.5006939271901105,164,0.4233149404344706,164,0.8345546824533452,164,,0,,0,,0,,0
ruler16k,KeyDiffPress,KeyDiff,0.25,267,267,1.0,267,0.26023720349563045,267,0.7397627965043696,267,0.43473397683611337,267,0.35316054584547096,267,3.2019343463768393,267,4.267211003364714,267,1.0652766569878758,267,0.557687651627823,267,0.06727850272107064,267,1.0631344738750188,267,0.7212050219236812,267,1.7594057058944899,267
ruler16k,KeyDiffPress,KeyDiff,0.5,114,114,1.0,114,0.3200292397660819,114,0.6799707602339181,114,0.6318135764340714,114,0.5944870857699805,114,2.840322130261673,114,3.4348831706891665,114,0.5945610404274931,114,0.681158148771306,114,0.06083548508222111,114,0.5783506329437901,114,0.7666707491277573,114,0.6392666456101892,114
ruler16k,KeyDiffPress,KeyDiff,0.75,39,39,1.0,39,0.5675213675213675,39,0.4324786324786325,39,0.8610375310063543,39,0.9442396723646723,39,3.910128387393297,39,4.015508562195957,39,0.1053801748026607,39,0.920000228233545,39,0.09104795460864475,39,0.1011789043232163,39,0.8797957134579525,39,0.04582064046010923,39
ruler16k,QuantizedCache,QuantizedCache,0.25,883,883,1.0,883,0.02869007172517931,883,0.9713099282748207,883,,0,,0,2.935358195571387,883,5.165796771033127,883,2.2304385754617413,883,0.2603469814832095,883,,0,,0,,0,,0
ruler16k,QuantizedCache,QuantizedCache,0.5,28,28,1.0,28,0.593452380952381,28,0.40654761904761905,28,,0,,0,7.786097020160823,28,7.788169701384531,28,0.0020726812237071846,28,0.9979436118698413,28,,0,,0,,0,,0
ruler16k,QuantizedCache,QuantizedCache,0.75,4,4,1.0,4,0.7583333333333333,4,0.24166666666666667,4,,0,,0,7.109317827659833,4,7.146655655644436,4,0.03733782798460261,4,0.9653235045422437,4,,0,,0,,0,,0
ruler16k,SnapKVPress,SnapKV,0.25,160,160,1.0,160,0.29125,160,0.70875,160,0.45802886817661925,160,0.4881919126157407,160,3.728664278303783,160,4.231035239467445,160,0.502370961163663,160,0.683726332273345,160,0.04397450802960004,160,0.49549972798400976,160,0.7638377893854137,160,0.47937067859284194,160
ruler16k,SnapKVPress,SnapKV,0.5,34,34,1.0,34,0.47990196078431374,34,0.5200980392156863,34,0.6147356865104097,34,0.6386199618736383,34,6.418151026896517,34,6.535062924462698,34,0.1169118975661817,34,0.9079823892717185,34,0.04119598021836834,34,0.11722842949915058,34,0.8735304437024076,34,0.058364471155030864,34
ruler16k,SnapKVPress,SnapKV,0.75,13,13,1.0,13,0.7807692307692308,13,0.21923076923076923,13,0.8058075799546118,13,0.8120726495726495,13,8.067983363587528,13,8.106474659031498,13,0.03849129544396876,13,0.9696147573396677,13,0.05572072802447029,13,0.0023684307394018444,13,0.981978021978022,13,0.038461538461538464,13
ruler16k,StreamingLLMPress,StreamingLLM,0.25,738,738,1.0,738,0.11716350496838301,738,0.882836495031617,738,0.06876109327223298,738,0.06957994579945799,738,3.0274045421754567,738,5.317771751006874,738,2.290367208831417,738,0.25984030574633316,738,0.041439819488271995,738,2.324810531988048,738,0.668903621523229,738,25.27971891460102,738
ruler16k,StreamingLLMPress,StreamingLLM,0.5,555,555,1.0,555,0.20846846846846848,555,0.7915315315315316,555,0.16118766420370112,555,0.15981981981981982,555,2.9409694741708226,555,5.048150892857091,555,2.1071814186862676,555,0.3411344532495943,555,0.07291800590507246,555,2.1489746448191283,555,0.688399706486328,555,18.089568457897947,555
ruler16k,StreamingLLMPress,StreamingLLM,0.75,302,302,1.0,302,0.3079470198675497,302,0.6920529801324503,302,0.26258475529746356,302,0.26026490066225166,302,2.9247746563996615,302,4.613832339348977,302,1.6890576829493156,302,0.479860874575672,302,0.09605447525250492,302,1.7440508069335838,302,0.7356426149959415,302,9.457386288127385,302
ruler16k,TOVAPress,TOVA,0.25,166,166,1.0,166,0.2529116465863454,166,0.7470883534136546,166,0.46902977916958954,166,0.44506916555109327,166,3.0680061614080194,166,3.82681942113409,166,0.7588132597260704,166,0.6007220203626015,166,0.14499052684101704,166,0.7644043101340632,166,0.7300297179075098,166,1.189884043046494,166
ruler16k,TOVAPress,TOVA,0.5,33,33,1.0,33,0.454040404040404,33,0.545959595959596,33,0.673170609837666,33,0.6650392817059484,33,5.299238679792262,33,5.4337498223307925,33,0.1345111425385289,33,0.8995925329760875,33,0.18302737974239736,33,0.11983992278260319,33,0.8446573257724016,33,0.1128899433443847,33
ruler16k,TOVAPress,TOVA,0.75,9,9,1.0,9,0.7444444444444445,9,0.2555555555555556,9,0.9131917765019616,9,0.9323045267489712,9,6.27545602552542,9,6.275234276589327,9,-0.0002217489360939832,9,1.000221900104374,9,0.2279170964953006,9,0.00027171986908914583,9,0.9837037037037037,9,0.0,9
ruler16k,ThinKPress,ThinK,0.5,951,951,1.0,951,0.0,951,1.0,951,,0,,0,2.915317731813395,951,10.873452361132289,951,7.958134629318895,951,0.014547312463956751,951,,0,,0,,0,,0
ruler16k,ThinKPress,ThinK,0.75,17,17,1.0,17,0.7892156862745098,17,0.21078431372549017,17,,0,,0,7.895483478993832,17,7.9186714615912726,17,0.023187982597440815,17,0.9830052477908631,17,,0,,0,,0,,0
ruler8k,AdaKVPress,AdaKV,0.25,233,233,1.0,233,0.3814020028612304,233,0.6185979971387696,233,0.45442753092819377,233,0.4863912732474964,233,4.095160248292756,233,4.89030231512181,233,0.7951420668290536,233,0.5721695700113083,233,,0,0.7791405234829942,233,0.7587566277585344,233,,0
ruler8k,AdaKVPress,AdaKV,0.5,71,71,1.0,71,0.39859154929577467,71,0.6014084507042254,71,0.6454000868417841,71,0.686318140323422,71,3.4744218731805003,71,3.676624520569428,71,0.20220264738892715,71,0.8454006287858553,71,,0,0.20153307885313973,71,0.8370807046530689,71,,0
ruler8k,AdaKVPress,AdaKV,0.75,15,15,1.0,15,0.7066666666666667,15,0.29333333333333333,15,0.8682399029892991,15,0.8799189814814814,15,4.713483984534184,15,4.715995111489605,15,0.0025111269554199587,15,0.9975304759096939,15,,0,0.0006685811486207647,15,0.9704879672299026,15,,0
ruler8k,ChunkKVPress_Knorm,ChunkKV,0.25,513,513,1.0,513,0.21426250812215725,513,0.7857374918778427,513,0.42967141844707735,513,0.4237212114648762,513,4.154398491460266,513,5.787435209290046,513,1.6330367178297795,513,0.4519822083182968,513,,0,1.6234913016939971,513,0.7109713366664429,513,,0
ruler8k,ChunkKVPress_Knorm,ChunkKV,0.5,359,359,1.0,359,0.36467038068709373,359,0.6353296193129062,359,0.5782420718972083,359,0.5486188486536676,359,4.616185541816804,359,5.759328877767092,359,1.1431433359502878,359,0.642992886218369,359,,0,1.153945011245906,359,0.7586938861190786,359,,0
ruler8k,ChunkKVPress_Knorm,ChunkKV,0.75,171,171,1.0,171,0.4887914230019493,171,0.5112085769980507,171,0.7015867210541095,171,0.6927631578947369,171,4.7726419637106385,171,5.468183095276433,171,0.6955411315657942,171,0.7537377248148011,171,,0,0.6990366352131432,171,0.8029544475339027,171,,0
ruler8k,KeyDiffPress,KeyDiff,0.25,293,293,1.0,293,0.30716723549488056,293,0.6928327645051194,293,0.4372304138309765,293,0.35573904215649094,293,4.229573574038524,293,5.272698612150579,293,1.0431250381120556,293,0.5858913296137458,293,0.07593130654217943,293,1.063003744140573,293,0.7442529278268089,293,,0
ruler8k,KeyDiffPress,KeyDiff,0.5,140,140,1.0,140,0.42154761904761906,140,0.5784523809523809,140,0.6729845209617995,140,0.6534726355820106,140,4.147883946220091,140,4.678883254891494,140,0.5309993086714018,140,0.7362753785138358,140,0.08358851388207526,140,0.5126366460763004,140,0.7985405492906087,140,,0
ruler8k,KeyDiffPress,KeyDiff,0.75,52,52,1.0,52,0.6096153846153846,52,0.3903846153846154,52,0.885247278745356,52,0.9518885772792023,52,5.609734474533068,52,5.706336689159679,52,0.09660221462661057,52,0.9246438116697872,52,0.10135427284310274,52,0.09867055079674285,52,0.8860248440482668,52,,0
ruler8k,QuantizedCache,QuantizedCache,0.25,821,821,1.0,821,0.061713357693869264,821,0.9382866423061308,821,,0,,0,3.336561596173851,821,5.74101361666909,821,2.4044520204952398,821,0.26064543578845967,821,0.5539993603778668,821,2.3973439811090733,821,0.5805740689665405,821,,0
ruler8k,QuantizedCache,QuantizedCache,0.5,27,27,1.0,27,0.7444444444444445,27,0.2555555555555556,27,,0,,0,8.189826847788932,27,8.196680560785849,27,0.006853712996916987,27,0.9959264518049961,27,0.9687159873090726,27,0.003339321328073596,27,0.9468959435626102,27,,0
ruler8k,QuantizedCache,QuantizedCache,0.75,9,9,1.0,9,0.711111111111111,9,0.2888888888888889,9,,0,,0,4.426694715324896,9,4.426661396392922,9,-3.331893197268244e-05,9,0.9999392343810004,9,0.9983206234815039,9,9.470384354068225e-06,9,0.9885185185185185,9,,0
ruler8k,SnapKVPress,SnapKV,0.25,246,246,1.0,246,0.3613821138211382,246,0.6386178861788617,246,0.4646668185851694,246,0.48779405676001203,246,4.236730944296665,246,5.133755347201827,246,0.8970244029051616,246,0.5451386349244209,246,0.046527577507397236,246,0.886434327160401,246,0.7603880736210248,246,,0
ruler8k,SnapKVPress,SnapKV,0.5,111,111,1.0,111,0.340990990990991,111,0.659009009009009,111,0.6406676951656456,111,0.6817989864864865,111,4.027965932303176,111,4.3729912579069214,111,0.3450253256037458,111,0.7511938458325852,111,0.04691018613929976,111,0.35783979693994167,111,0.806748455945842,111,,0
ruler8k,SnapKVPress,SnapKV,0.75,24,24,1.0,24,0.6715277777777778,24,0.3284722222222222,24,0.8701706240238903,24,0.8868393132716049,24,6.247579295626896,24,6.2805089619061745,24,0.03292966627927854,24,0.9676772830560361,24,0.05244864745130016,24,0.03734368255574773,24,0.9535725922822698,24,,0
ruler8k,StreamingLLMPress,StreamingLLM,0.25,789,789,1.0,789,0.15061258977608788,789,0.8493874102239121,789,0.07925345734251221,789,0.07870722433460076,789,3.3369930531066725,789,5.470327867704812,789,2.1333348145981397,789,0.2822211499729899,789,0.04622708769249486,789,2.150693818725284,789,0.6808077504967935,789,,0
ruler8k,StreamingLLMPress,StreamingLLM,0.5,547,547,1.0,547,0.22635588056063374,547,0.7736441194393663,547,0.17177964266674992,547,0.17111517367458864,547,3.1024836177150625,547,5.056987944295501,547,1.9545043265804383,547,0.35047558097620507,547,0.07353894956600981,547,1.9771366124271164,547,0.6985146583749807,547,,0
ruler8k,StreamingLLMPress,StreamingLLM,0.75,287,287,1.0,287,0.3416376306620209,287,0.6583623693379791,287,0.2581843446734424,287,0.25818815331010453,287,3.157926204522638,287,4.6635186017190735,287,1.5055923971964364,287,0.4853282050306849,287,0.08708600151261338,287,1.5340506672481302,287,0.7443696695180214,287,,0
ruler8k,TOVAPress,TOVA,0.25,213,213,1.0,213,0.34374021909233177,213,0.6562597809076682,213,0.46698467869606675,213,0.45422969918275086,213,4.993109070443718,213,5.826210164285614,213,0.8331010938418951,213,0.5870063353425236,213,0.15881878273593755,213,0.7832979424915,213,0.7657182107433153,213,,0
ruler8k,TOVAPress,TOVA,0.5,48,48,1.0,48,0.5076388888888889,48,0.4923611111111111,48,0.7068557432688053,48,0.7162712191358024,48,6.889738694628158,48,7.0664363652741775,48,0.17669767064601838,48,0.8732836324243092,48,0.19638258473075534,48,0.1912652394044666,48,0.8741483674354016,48,,0
ruler8k,TOVAPress,TOVA,0.75,12,12,1.0,12,0.6763888888888889,12,0.3236111111111111,12,0.9374865246027526,12,0.9557098765432098,12,6.88333918998417,12,6.954890544409245,12,0.07155135442507328,12,0.9514591133700093,12,0.227871898680672,12,0.07499717641049468,12,0.9691446208112874,12,,0
ruler8k,ThinKPress,ThinK,0.5,968,968,1.0,968,0.0,968,1.0,968,,0,,0,3.2663181457724972,968,11.093565691347045,968,7.82724754557455,968,0.02496888539060076,968,0.06296204514693411,968,7.820539436378312,968,0.48609177771654105,968,,0
ruler8k,ThinKPress,ThinK,0.75,21,21,1.0,21,0.7626984126984127,21,0.2373015873015873,21,,0,,0,4.031431803361936,21,4.04406035015915,21,0.012628546797214438,21,0.98778091756518,21,1.0118645331281146,21,0.008860159924236576,21,0.9258276643990929,21,,0
