dataset,method_name,retained_budget,retention_semantics,failure_rows,ERR_slot_mean,ECov_slot_mean,distractor_retention_rate_slot_mean,DRR_slot_mean,coverage_type
HotpotQA,AdaKVPress,0.25,per_layer_per_kv_head_original_position_mapping,18,0.3300507573847046,0.30340149176954734,0.21142879841822604,0.4349210765876451,measured_token_coverage
HotpotQA,AdaKVPress,0.5,per_layer_per_kv_head_original_position_mapping,8,0.5813915088051405,0.5922309027777778,0.4611176043826738,0.45776674889742514,measured_token_coverage
HotpotQA,AdaKVPress,0.75,per_layer_per_kv_head_original_position_mapping,5,0.8846118503760347,0.8947916666666667,0.7297249762520148,0.4532064210392897,measured_token_coverage
HotpotQA,ChunkKVPress_Knorm,0.25,per_layer_per_kv_head_original_position_mapping,99,0.22604761568914175,0.1926674148896371,0.24432012000203326,0.5695769888301139,projected_token_coverage
HotpotQA,ChunkKVPress_Knorm,0.5,per_layer_per_kv_head_original_position_mapping,65,0.45199662093966925,0.4236823361823362,0.5030182498245072,0.5428215445209451,projected_token_coverage
HotpotQA,ChunkKVPress_Knorm,0.75,per_layer_per_kv_head_original_position_mapping,35,0.7143891242456789,0.7021825396825397,0.7523619654809475,0.5189409345400833,projected_token_coverage
HotpotQA,KeyDiffPress,0.25,per_layer_per_kv_head_original_position_mapping,98,0.23259905145388882,0.06472859977324263,0.25056266836608615,0.5269942471821356,measured_token_coverage
HotpotQA,KeyDiffPress,0.5,per_layer_per_kv_head_original_position_mapping,51,0.4608702720818297,0.4081449709513435,0.5055942230658107,0.5258730597342917,measured_token_coverage
HotpotQA,KeyDiffPress,0.75,per_layer_per_kv_head_original_position_mapping,24,0.7166989652017536,0.8825472608024691,0.7564483344039933,0.5144349866808431,measured_token_coverage
HotpotQA,QuantizedCache,0.25,all_positions_structurally_preserved,107,,,1.0,0.49999999999975,structural_position_addressability
HotpotQA,QuantizedCache,0.5,all_positions_structurally_preserved,8,,,1.0,0.49999999999975,structural_position_addressability
HotpotQA,QuantizedCache,0.75,all_positions_structurally_preserved,3,,,1.0,0.49999999999975,structural_position_addressability
HotpotQA,SnapKVPress,0.25,per_layer_per_kv_head_original_position_mapping,22,0.27373387814186595,0.2140914351851852,0.21050910399018316,0.4676330654094256,measured_token_coverage
HotpotQA,SnapKVPress,0.5,per_layer_per_kv_head_original_position_mapping,10,0.545989605041874,0.564236111111111,0.457932648485576,0.4690682071353643,measured_token_coverage
HotpotQA,SnapKVPress,0.75,per_layer_per_kv_head_original_position_mapping,5,0.8054875503987395,0.841550925925926,0.724354819081055,0.47786457287762457,measured_token_coverage
HotpotQA,StreamingLLMPress,0.25,per_layer_per_kv_head_original_position_mapping,50,0.10507820784643775,0.09666666666666666,0.24484228475347464,0.858697868700114,measured_token_coverage
HotpotQA,StreamingLLMPress,0.5,per_layer_per_kv_head_original_position_mapping,36,0.30147939332372964,0.2916666666666667,0.5075288786822381,0.7204854322657269,measured_token_coverage
HotpotQA,StreamingLLMPress,0.75,per_layer_per_kv_head_original_position_mapping,15,0.4830192458897606,0.5222222222222223,0.7753026110166675,0.6583563384851507,measured_token_coverage
HotpotQA,TOVAPress,0.25,per_layer_per_kv_head_original_position_mapping,17,0.37612505725486634,0.3156318082788671,0.19302080615482864,0.34731699558660584,measured_token_coverage
HotpotQA,TOVAPress,0.5,per_layer_per_kv_head_original_position_mapping,8,0.6354972468370327,0.7667824074074074,0.45159090551690834,0.4160767957800522,measured_token_coverage
HotpotQA,TOVAPress,0.75,per_layer_per_kv_head_original_position_mapping,3,0.8582371622830559,0.9861111111111112,0.7253653715824347,0.45826113668408497,measured_token_coverage
HotpotQA,ThinKPress,0.5,all_positions_structurally_preserved,124,,,1.0,0.49999999999975,structural_position_addressability
HotpotQA,ThinKPress,0.75,all_positions_structurally_preserved,16,,,1.0,0.49999999999975,structural_position_addressability
Qasper,AdaKVPress,0.25,per_layer_per_kv_head_original_position_mapping,7,0.31348704811061967,0.28670634920634924,0.24612947154738077,0.45060526460224815,measured_token_coverage
Qasper,AdaKVPress,0.5,per_layer_per_kv_head_original_position_mapping,6,0.5497404385876629,0.5815972222222222,0.4979286775741831,0.47730063539345774,measured_token_coverage
Qasper,ChunkKVPress_Knorm,0.25,per_layer_per_kv_head_original_position_mapping,24,0.14157471581466177,0.11689814814814814,0.24670006165187766,0.6976270785971797,projected_token_coverage
Qasper,ChunkKVPress_Knorm,0.5,per_layer_per_kv_head_original_position_mapping,22,0.4114934315620134,0.45454545454545453,0.49773721848830965,0.5683768273752126,projected_token_coverage
Qasper,ChunkKVPress_Knorm,0.75,per_layer_per_kv_head_original_position_mapping,14,0.6451530289626263,0.6746031746031746,0.7499322472629536,0.5499579203634835,projected_token_coverage
Qasper,KeyDiffPress,0.25,per_layer_per_kv_head_original_position_mapping,34,0.23685333828511132,0.06459354575163398,0.24927946285030084,0.5270365040609664,measured_token_coverage
Qasper,KeyDiffPress,0.5,per_layer_per_kv_head_original_position_mapping,24,0.4796224311527277,0.47294560185185186,0.4998356227017153,0.5149773758831966,measured_token_coverage
Qasper,KeyDiffPress,0.75,per_layer_per_kv_head_original_position_mapping,11,0.7335902643722871,0.925189393939394,0.7498644744986053,0.5064444519154125,measured_token_coverage
Qasper,QuantizedCache,0.25,all_positions_structurally_preserved,42,,,1.0,0.49999999999975,structural_position_addressability
Qasper,QuantizedCache,0.5,all_positions_structurally_preserved,3,,,1.0,0.49999999999975,structural_position_addressability
Qasper,QuantizedCache,0.75,all_positions_structurally_preserved,1,,,1.0,0.49999999999975,structural_position_addressability
Qasper,SnapKVPress,0.25,per_layer_per_kv_head_original_position_mapping,7,0.3038938036169064,0.24503968253968253,0.24672754700424004,0.46472881027388546,measured_token_coverage
Qasper,SnapKVPress,0.5,per_layer_per_kv_head_original_position_mapping,5,0.5409099552928214,0.5395833333333334,0.4988609598355865,0.4837411116199245,measured_token_coverage
Qasper,SnapKVPress,0.75,per_layer_per_kv_head_original_position_mapping,1,0.9999276620370371,1.0,0.7429743390900961,0.4262857800433925,measured_token_coverage
Qasper,StreamingLLMPress,0.25,per_layer_per_kv_head_original_position_mapping,26,0.0,0.0,0.2512312109959759,0.9999999999960185,measured_token_coverage
Qasper,StreamingLLMPress,0.5,per_layer_per_kv_head_original_position_mapping,20,0.0,0.0,0.5079741700593792,0.9999999999980307,measured_token_coverage
Qasper,StreamingLLMPress,0.75,per_layer_per_kv_head_original_position_mapping,12,0.10444444444444445,0.08333333333333333,0.7580624336478717,0.925826888369858,measured_token_coverage
Qasper,TOVAPress,0.25,per_layer_per_kv_head_original_position_mapping,10,0.4797790518945237,0.4583333333333333,0.24331209480855182,0.3448962093714524,measured_token_coverage
Qasper,TOVAPress,0.5,per_layer_per_kv_head_original_position_mapping,6,0.7571748259901622,0.8796296296296297,0.493146706538808,0.39470631831066605,measured_token_coverage
Qasper,ThinKPress,0.5,all_positions_structurally_preserved,46,,,1.0,0.49999999999975,structural_position_addressability
Qasper,ThinKPress,0.75,all_positions_structurally_preserved,6,,,1.0,0.49999999999975,structural_position_addressability
RULER-16K,AdaKVPress,0.25,per_layer_per_kv_head_original_position_mapping,131,0.4461968439650905,0.48433391645462254,0.2475568064706426,0.5076670290541556,measured_token_coverage
RULER-16K,AdaKVPress,0.5,per_layer_per_kv_head_original_position_mapping,23,0.5697599281607144,0.5836805555555555,,,measured_token_coverage
RULER-16K,AdaKVPress,0.75,per_layer_per_kv_head_original_position_mapping,7,0.799467502983128,0.805324074074074,,,measured_token_coverage
RULER-16K,ChunkKVPress_Knorm,0.25,per_layer_per_kv_head_original_position_mapping,448,0.4848217452312787,0.4666904348544974,0.27672878055598227,0.6116469383108428,projected_token_coverage
RULER-16K,ChunkKVPress_Knorm,0.5,per_layer_per_kv_head_original_position_mapping,310,0.6040853129742842,0.5665382317801673,0.5052272387865497,0.5836000558839515,projected_token_coverage
RULER-16K,ChunkKVPress_Knorm,0.75,per_layer_per_kv_head_original_position_mapping,164,0.7067755112692419,0.6981989611562782,0.7498541245442294,0.5909345945451463,projected_token_coverage
RULER-16K,KeyDiffPress,0.25,per_layer_per_kv_head_original_position_mapping,267,0.43473397683611337,0.35316054584547096,0.24677935589699654,0.5338970286649256,measured_token_coverage
RULER-16K,KeyDiffPress,0.5,per_layer_per_kv_head_original_position_mapping,114,0.6318135764340714,0.5944870857699805,0.4974479199139652,0.5325718022228901,measured_token_coverage
RULER-16K,KeyDiffPress,0.75,per_layer_per_kv_head_original_position_mapping,39,0.8610375310063543,0.9442396723646723,0.748784267799337,0.5265413132265072,measured_token_coverage
RULER-16K,QuantizedCache,0.25,all_positions_structurally_preserved,883,,,1.0,0.4999999999997499,structural_position_addressability
RULER-16K,QuantizedCache,0.5,all_positions_structurally_preserved,28,,,,,structural_position_addressability
RULER-16K,QuantizedCache,0.75,all_positions_structurally_preserved,4,,,,,structural_position_addressability
RULER-16K,SnapKVPress,0.25,per_layer_per_kv_head_original_position_mapping,160,0.45802886817661925,0.4881919126157407,0.24535819298628014,0.39702320533684077,measured_token_coverage
RULER-16K,SnapKVPress,0.5,per_layer_per_kv_head_original_position_mapping,34,0.6147356865104097,0.6386199618736383,0.49818644912866616,0.47131704223675397,measured_token_coverage
RULER-16K,SnapKVPress,0.75,per_layer_per_kv_head_original_position_mapping,13,0.8058075799546118,0.8120726495726495,,,measured_token_coverage
RULER-16K,StreamingLLMPress,0.25,per_layer_per_kv_head_original_position_mapping,738,0.06876109327223298,0.06957994579945799,0.22778755046578736,0.8340611353680188,measured_token_coverage
RULER-16K,StreamingLLMPress,0.5,per_layer_per_kv_head_original_position_mapping,555,0.16118766420370112,0.15981981981981982,0.475030614493955,0.9599999999979616,measured_token_coverage
RULER-16K,StreamingLLMPress,0.75,per_layer_per_kv_head_original_position_mapping,302,0.26258475529746356,0.26026490066225166,0.7582669885885727,0.9999999999986243,measured_token_coverage
RULER-16K,TOVAPress,0.25,per_layer_per_kv_head_original_position_mapping,166,0.46902977916958954,0.44506916555109327,0.2443774106028098,0.41583387783845843,measured_token_coverage
RULER-16K,TOVAPress,0.5,per_layer_per_kv_head_original_position_mapping,33,0.673170609837666,0.6650392817059484,0.4965101566972527,0.5104083016749947,measured_token_coverage
RULER-16K,TOVAPress,0.75,per_layer_per_kv_head_original_position_mapping,9,0.9131917765019616,0.9323045267489712,,,measured_token_coverage
RULER-16K,ThinKPress,0.5,all_positions_structurally_preserved,951,,,1.0,0.49999999999975,structural_position_addressability
RULER-16K,ThinKPress,0.75,all_positions_structurally_preserved,17,,,,,structural_position_addressability
RULER-8K,AdaKVPress,0.25,per_layer_per_kv_head_original_position_mapping,233,0.45442753092819377,0.4863912732474964,0.24088152348495973,0.4064903537621888,measured_token_coverage
RULER-8K,AdaKVPress,0.5,per_layer_per_kv_head_original_position_mapping,71,0.6454000868417841,0.686318140323422,0.4924458777221581,0.4936681988381448,measured_token_coverage
RULER-8K,AdaKVPress,0.75,per_layer_per_kv_head_original_position_mapping,15,0.8682399029892991,0.8799189814814814,,,measured_token_coverage
RULER-8K,ChunkKVPress_Knorm,0.25,per_layer_per_kv_head_original_position_mapping,513,0.42967141844707735,0.4237212114648762,0.27422594930925626,0.6468298352940745,projected_token_coverage
RULER-8K,ChunkKVPress_Knorm,0.5,per_layer_per_kv_head_original_position_mapping,359,0.5782420718972083,0.5486188486536676,0.5075602017005846,0.596834385588267,projected_token_coverage
RULER-8K,ChunkKVPress_Knorm,0.75,per_layer_per_kv_head_original_position_mapping,171,0.7015867210541095,0.6927631578947369,0.7547487574575317,0.5855550322495248,projected_token_coverage
RULER-8K,KeyDiffPress,0.25,per_layer_per_kv_head_original_position_mapping,293,0.4372304138309765,0.35573904215649094,0.24733998886597708,0.527001426957454,measured_token_coverage
RULER-8K,KeyDiffPress,0.5,per_layer_per_kv_head_original_position_mapping,140,0.6729845209617995,0.6534726355820106,0.49500069373752925,0.517842790038659,measured_token_coverage
RULER-8K,KeyDiffPress,0.75,per_layer_per_kv_head_original_position_mapping,52,0.885247278745356,0.9518885772792023,0.7475133930415456,0.5102132965853664,measured_token_coverage
RULER-8K,QuantizedCache,0.25,all_positions_structurally_preserved,821,,,1.0,0.49999999999975,structural_position_addressability
RULER-8K,QuantizedCache,0.5,all_positions_structurally_preserved,27,,,,,structural_position_addressability
RULER-8K,QuantizedCache,0.75,all_positions_structurally_preserved,9,,,,,structural_position_addressability
RULER-8K,SnapKVPress,0.25,per_layer_per_kv_head_original_position_mapping,246,0.4646668185851694,0.48779405676001203,0.24070146433866985,0.3944960800062078,measured_token_coverage
RULER-8K,SnapKVPress,0.5,per_layer_per_kv_head_original_position_mapping,111,0.6406676951656456,0.6817989864864865,0.495194334080012,0.5108361319232301,measured_token_coverage
RULER-8K,SnapKVPress,0.75,per_layer_per_kv_head_original_position_mapping,24,0.8701706240238903,0.8868393132716049,,,measured_token_coverage
RULER-8K,StreamingLLMPress,0.25,per_layer_per_kv_head_original_position_mapping,789,0.07925345734251221,0.07870722433460076,0.23350305075745295,0.8429890319472111,measured_token_coverage
RULER-8K,StreamingLLMPress,0.5,per_layer_per_kv_head_original_position_mapping,547,0.17177964266674992,0.17111517367458864,0.4906280715293806,0.9597315436221988,measured_token_coverage
RULER-8K,StreamingLLMPress,0.75,per_layer_per_kv_head_original_position_mapping,287,0.2581843446734424,0.25818815331010453,0.7724661715070994,0.9999999999986767,measured_token_coverage
RULER-8K,TOVAPress,0.25,per_layer_per_kv_head_original_position_mapping,213,0.46698467869606675,0.45422969918275086,0.2398628098293306,0.4150814318005368,measured_token_coverage
RULER-8K,TOVAPress,0.5,per_layer_per_kv_head_original_position_mapping,48,0.7068557432688053,0.7162712191358024,0.4929769948051946,0.4775672557468444,measured_token_coverage
RULER-8K,TOVAPress,0.75,per_layer_per_kv_head_original_position_mapping,12,0.9374865246027526,0.9557098765432098,0.7457210098416773,0.4906563434802332,measured_token_coverage
RULER-8K,ThinKPress,0.5,all_positions_structurally_preserved,968,,,1.0,0.49999999999975,structural_position_addressability
RULER-8K,ThinKPress,0.75,all_positions_structurally_preserved,21,,,,,structural_position_addressability
